X,Y,Component,Action
5,0,D,Pick
3,2,D,Place
5,0,D,Pick
5,2,D,Place
5,0,D,Pick
7,2,D,Place
5,0,D,Pick
9,2,D,Place
5,0,D,Pick
3,5,D,Place
3,0,B,Pick
5,3,B,Place
3,0,B,Pick
3,4,B,Place
5,0,D,Pick
8,5,D,Place
5,0,D,Pick
11,2,D,Place
9,0,H,Pick
7,9,H,Place
3,0,B,Pick
7,6,B,Place
5,0,D,Pick
4,8,D,Place
3,0,B,Pick
2,8,B,Place
3,0,B,Pick
7,8,B,Place
9,0,H,Pick
11,9,H,Place
8,0,G,Pick
5,9,G,Place
4,0,C,Pick
3,9,C,Place
4,0,C,Pick
2,10,C,Place
3,0,B,Pick
5,11,B,Place
8,0,G,Pick
6,10,G,Place
10,0,I,Pick
9,10,I,Place
8,0,G,Pick
9,11,G,Place
9,0,H,Pick
2,9,H,Place
5,0,D,Pick
10,10,D,Place
10,0,I,Pick
7,11,I,Place
8,0,G,Pick
3,11,G,Place
3,0,B,Pick
2,12,B,Place
4,0,C,Pick
4,12,C,Place
4,0,C,Pick
2,13,C,Place
5,0,D,Pick
3,13,D,Place
5,0,D,Pick
7,13,D,Place
10,0,I,Pick
10,12,I,Place
9,0,H,Pick
6,12,H,Place
3,0,B,Pick
9,13,B,Place
